Date,Open,High,Low,Close,Volume,Moving_Avg_10
2023-01-01,249.81604753894499,174.05317153544786,204.6822734943624,369.0811976835592,1617,
2023-01-02,480.2857225639665,316.7603789513432,198.79151962879993,418.6725588765489,4092,
2023-01-03,392.797576724562,449.1783343505633,462.50183220841467,200.1871595169996,1063,
2023-01-04,339.46339367881467,392.88995456382446,199.81847993980244,349.94963984279957,3212,
2023-01-05,162.40745617697462,422.6244591445799,208.7798904514524,328.69839325749945,3074,
2023-01-06,162.39780813448107,363.51334668428694,403.75930496718547,433.13215071530846,4382,
2023-01-07,123.23344486727979,376.910625807141,279.895936980216,462.4348241925042,4059,
2023-01-08,446.47045830997405,439.6782606261277,410.6842227820725,104.86270859095472,1284,
2023-01-09,340.4460046972835,199.86720354367438,126.14646302575409,369.6079676235171,2683,
2023-01-10,383.2290311184182,295.7699854572562,295.02847746935373,120.73431964789161,3328,315.7360919947583
2023-01-11,108.23379771832097,188.4837767278409,113.44544007331305,319.54346603094234,1837,310.7823188294966
2023-01-12,487.96394086479773,495.0672031986588,125.0612813821418,215.0530916174713,1830,290.4203721035888
2023-01-13,432.9770563201687,477.6237358746453,462.57498133776437,222.71063980885648,2187,292.67272013277454
2023-01-14,184.93564427131048,115.77072454740235,155.69814844703808,241.18340138094263,4969,281.7960962865888
2023-01-15,172.72998688284025,382.23006900627536,312.96827291008685,348.51697961984405,3965,283.77795492282326
2023-01-16,173.36180394137352,470.09932696626635,264.4382410402826,233.61998626750767,1223,263.8267384780432
2023-01-17,221.69689718381508,172.23013805093342,238.93733050353708,393.07962023611213,1783,256.891218082404
2023-01-18,309.9025726528952,327.17809222105177,459.933338274909,261.81095422954786,4217,272.5860426462633
2023-01-19,272.7780074568463,466.19531903521676,108.7293587101958,127.34128012398344,4012,248.35937389630993
2023-01-20,216.49165607921677,113.57839143431954,365.51587447023564,413.5039369936429,1949,277.6363356308851
2023-01-21,344.74115788895176,378.968106898736,485.35777368542017,214.3033298370824,4939,267.1123220114991
2023-01-22,155.79754426081672,218.9396029490203,324.0672733847368,273.10675183970505,4101,272.91768803372247
2023-01-23,216.85785941408727,469.7584781506122,474.7289848132367,374.17755328876063,1044,288.06437938171285
2023-01-24,246.5447373174767,488.4232980661471,120.9031517144095,232.9824628594848,2810,287.2442855295671
2023-01-25,282.4279936868144,477.70659564537357,267.5173276296646,122.63426245868625,1470,264.6560138134513
2023-01-26,414.07038455720544,289.6856866629855,204.06311638482046,249.56841880512545,3081,266.25085706721313
2023-01-27,179.8695128633439,444.8170603957254,392.32838599229194,477.77943307772136,3700,274.720838351374
2023-01-28,305.69377536544465,437.81975941402817,492.51883619889867,356.69375891942326,4498,284.20911882036154
2023-01-29,336.965827544817,227.64018929730224,202.61202497769912,368.5916594668828,1829,308.3341567546515
2023-01-30,118.58016508799909,431.56618966027094,361.6698405896298,352.9128614550559,2909,302.27504920079275
2023-01-31,343.01794076057536,114.80305388619705,179.23905310389605,179.5968555837747,3268,298.804401775462
2023-02-01,168.2096494749166,338.5079513928212,326.13210182864395,267.33354564091206,2891,298.2270811555827
2023-02-02,126.0206371941118,192.00353491508122,285.5729946753345,400.3759193453273,3581,300.8469177612394
2023-02-03,479.5542149013333,148.22675431091153,488.8021318526148,140.54915902126368,1691,291.6035873774173
2023-02-04,486.25281322982374,130.78128065168366,343.41090907858666,211.1411104358849,2390,300.45427217513713
2023-02-05,423.35893924658444,378.5155103512559,239.8025488347275,210.52764338634145,1931,296.55019463325874
2023-02-06,221.84550766934828,235.94998550722644,145.63831395517334,272.8075710378024,1840,276.05300842926687
2023-02-07,139.06884560255355,389.9067086115046,160.49873149397382,492.147496376874,4814,289.5983821750119
2023-02-08,373.69321060486277,126.14253631957695,190.12677198049403,127.00101867352878,4058,265.4393180956765
2023-02-09,276.0609974958405,226.11613513224415,200.3866645361192,307.480397752238,2938,260.89607172539473
2023-02-10,148.81529393791152,315.7965169501349,440.2464231364551,171.7458728048842,2573,260.11097344750567
2023-02-11,298.0707640445081,416.28926593558543,324.48911531300996,488.27061816389767,3629,282.20468069980427
2023-02-12,113.75540844608736,227.50100117282796,309.35636454974656,145.32140189098567,4187,256.6992289543701
2023-02-13,463.7281608315128,350.35655057480363,145.90754874768697,261.4404009446365,3286,268.7883531467074
2023-02-14,203.51199264000678,454.3910992944748,444.055877339774,395.15399393384246,4406,287.1896414965031
2023-02-15,365.0089137415928,346.34527527292187,389.1257212833935,381.8217712109781,3488,304.31905427896675
2023-02-16,224.6844304357644,193.1837899014535,127.06734476000064,269.09145475757293,1147,303.9474426509438
2023-02-17,308.0272084711243,109.7603126226152,383.1340388919075,238.6096671810873,2032,278.59365973136516
2023-02-18,318.68411173731187,448.03954956037194,317.41528693705845,259.0449514211482,2311,291.79805300612713
2023-02-19,173.94178221021082,108.50776434015485,132.6901382987113,205.71050526345573,1387,281.62106375724886
2023-02-20,487.83385110582344,449.88066907367977,283.3202566114626,182.13317548271993,4121,282.65979402503245
2023-02-21,410.05312934444584,311.5748536108848,293.8785148520188,293.215879023556,2873,263.1543201109983
2023-02-22,475.7995766256756,475.6270794051585,166.30981606531032,207.41350242704294,4588,269.363530164604
2023-02-23,457.93094017105955,419.5132943094662,478.2792588001129,214.98466595890005,1915,264.7179566660303
2023-02-24,339.1599915244341,499.17364421333497,439.99014859226475,362.70242538982285,2878,261.4727998116284
2023-02-25,468.74969400924675,240.28472618068406,367.6089349316433,487.4149326799569,3685,272.03211595852633
2023-02-26,135.3970008207678,406.87531557245075,284.9182244002429,341.45488022375,4658,279.268458505144
2023-02-27,178.3931449676581,260.77236544369686,264.70621663380336,130.79178682598652,4748,268.4866704696339
2023-02-28,118.09091556421522,291.9502481215635,360.38938686038165,130.2334455416268,1277,255.60551988168177
2023-03-01,230.13213230530573,351.002185287348,318.1727477627622,480.5692883382264,2977,283.09139818915884
2023-03-02,255.4709158757928,449.4708456745355,124.90924235275425,218.91631612293344,2859,286.7697122531802
2023-03-03,208.53961270955836,493.63338767971806,305.0010595081327,136.82679443299017,4036,271.1308037941236
2023-03-04,431.4950036607717,407.3093655458073,422.5614468931358,339.6178348601526,4371,284.35123703743454
2023-03-05,242.70133067743572,267.1067128669335,283.6959510387832,349.45951131610644,2825,297.7987215731552
2023-03-06,212.3738038749523,268.5428009108281,120.78263102170737,359.4019280474753,3636,297.46867183892044
2023-03-07,317.0784332632994,395.0329206355566,414.5112797536132,206.9608111430165,2833,269.4232596852264
2023-03-08,156.36968998990505,195.51085830732092,180.54551285438976,106.04427368579002,3696,245.8821990314304
2023-03-09,420.8787923016159,144.18964525255785,203.4483339552155,486.00614778178874,1617,281.4036351270106
2023-03-10,129.82025747190832,241.84886305631062,165.88254137291835,200.357218276441,2630,288.41601240049204
2023-03-11,494.7547746402069,214.89559666163268,232.08602594859903,370.410515221019,3182,277.4001350887713
2023-03-12,408.89790771866296,218.52324818239603,402.700602275454,382.6519479514838,1579,293.77369827162636
2023-03-13,179.48627261366897,193.44310041996397,307.7543438015749,344.0029668317943,2170,314.4913155115068
2023-03-14,102.20884684944096,116.83727585454476,181.95250966028502,225.16295768545928,1489,303.04582779403745
2023-03-15,426.18457138193367,107.14957389336553,451.13203126081635,208.4385015056263,3525,288.94372681298944
2023-03-16,382.74293753904686,495.0889558944126,451.8327419806117,339.06731308108124,2182,286.91026531635003
2023-03-17,391.60286721639494,271.1092534943449,448.23137001840274,446.4382534446766,1383,310.858009546516
2023-03-18,408.5081386743783,253.73065886387266,195.51848455261572,478.69349156935823,1162,348.1229313348728
2023-03-19,129.61786069363615,371.85891307722795,280.49573767239525,142.36232176150304,3488,313.75854873284425
2023-03-20,243.38629141770903,187.30155514602566,493.99586245635004,161.93144503908795,2876,309.915971409109
2023-03-21,146.34762381005189,479.98447358009014,408.80499052399614,477.8945035132319,2212,320.66437023833026
2023-03-22,445.2413703502374,414.5380057662208,110.86696849022393,394.61409133391703,3462,321.86058457657356
2023-03-23,349.3192507310232,135.7644009249038,126.08183650419681,453.19752993190923,2362,332.7800408865851
2023-03-24,232.35920994105967,267.0323103139714,285.5725507249331,181.05305365413727,2630,328.36905048345284
2023-03-25,125.42334011440946,451.6473230248659,463.68808234462404,335.03434844376073,2204,341.0286351772663
2023-03-26,224.3929286862649,477.8928089165641,315.4807191810857,380.4558377669895,1287,345.16748764585714
2023-03-27,230.07332881069883,286.96060449994786,299.1250032137161,372.04475417878905,2857,337.7281377192684
2023-03-28,391.84247133522564,345.3645556842831,142.18947998265224,263.26067634667925,1186,316.1848561970005
2023-03-29,355.0229885420853,166.81357843683008,362.7120418897176,106.15795667652338,2907,312.56441968850254
2023-03-30,454.88509703053063,496.4674504547906,428.8412642400902,333.1704227217052,2161,329.68831745676425
2023-03-31,288.8859700647797,192.66868055337736,252.16800300302492,201.2406156718435,1129,302.0229286726254
2023-04-01,147.83769837532068,477.0927096540503,410.244740370131,280.10169845715615,3241,290.5716893849493
2023-04-02,385.297914889198,359.8586595969474,485.7906615603246,483.0324060335269,3363,293.5551769951111
